国家,公园名称,子景点名称,Longitude,Latitude
英国,埃克斯穆尔国家公园,一区,-3.62175,51.216724
英国,北约克湿地国家公园,一区,-0.934477,54.507192
英国,布雷肯比肯斯国家公园,一区,-3.476308,51.955424
英国,布罗兹管理局,一区,1.550207,52.617416
英国,达特穆尔国家公园,一区,-3.708702,50.5967
英国,峰区国家公园,一区,-1.860169,53.310991
英国,湖区国家公园,一区,-2.923204,54.642956
英国,凯恩戈姆国家公园,一区,-3.908441,57.195962
英国,洛蒙德湖与特罗萨克斯山国家公园,一区,-4.746301,56.206947
英国,南唐斯国家公园,一区,-0.794395,50.871296
英国,诺森伯兰国家公园,一区,-2.337457,55.367257
英国,潘布鲁克郡海岸国家公园,一区,-4.910993,51.796195
英国,新森林国家公园,一区,-1.614619,50.973879
英国,雪墩山国家公园,一区,-3.717465,53.047692
英国,约克郡河谷国家公园,一区,-2.004469,54.172888
